Date,Clockwise Max Growth,Clockwise Moderate,Clockwise Max Income,Clockwise Growth
12/09/20,"100,000","100,000","100,000","100,000"
12/10/20,"101,244","100,529","100,063","100,667"
12/11/20,"100,938","100,204","99,964","100,225"
12/14/20,"101,113","100,087","99,852","100,050"
12/15/20,"102,467","101,044","100,241","101,311"
12/16/20,"103,428","101,302","100,193","101,666"
12/17/20,"104,075","101,656","100,337","102,144"
12/18/20,"104,360","101,509","100,202","101,934"
12/21/20,"104,257","101,409","100,058","101,760"
12/22/20,"105,037","101,443","100,023","101,760"
12/23/20,"104,179","101,568","100,220","101,934"
12/24/20,"104,160","101,548","100,265","101,916"
12/25/20,"104,160","101,548","100,265","101,916"
12/28/20,"104,180","101,885","100,317","102,375"
12/29/20,"103,053","101,532","100,244","101,969"
12/30/20,"103,717","101,909","100,394","102,463"
12/31/20,"103,315","101,947","100,454","102,549"
01/01/21,"103,315","101,146","100,290","101,490"
01/04/21,"101,849","102,133","100,185","102,781"
01/05/21,"103,798","102,522","100,478","103,277"
01/06/21,"103,576","103,751","100,995","104,870"
01/07/21,"106,767","103,960","101,244","105,207"
01/08/21,"107,117","103,341","101,309","104,369"
01/11/21,"106,685","103,679","101,238","104,798"
01/12/21,"107,621","103,798","101,448","104,981"
01/13/21,"107,747","104,017","101,406","105,249"
01/14/21,"107,276","103,023","101,604","103,945"
01/15/21,"105,579","103,023","101,347","103,945"
01/18/21,"105,579","103,516","101,347","104,608"
01/19/21,"106,302","104,258","101,517","105,605"
01/20/21,"107,433","104,126","101,744","105,457"
01/21/21,"107,954","104,117","101,618","105,386"
01/22/21,"107,761","103,960","101,578","105,202"
01/25/21,"107,430","103,671","101,596","104,836"
01/26/21,"106,580","101,922","101,503","102,463"
01/27/21,"104,548","102,682","100,967","103,500"
01/28/21,"104,854","101,492","101,124","101,863"
01/29/21,"102,849","102,606","100,705","103,354"
02/01/21,"104,916","103,745","101,096","104,867"
02/02/21,"107,341","103,907","101,370","105,089"
02/03/21,"107,251","104,897","101,463","106,370"
02/04/21,"108,323","105,505","101,732","107,168"
02/05/21,"109,410","106,704","101,904","108,697"
02/08/21,"111,205","106,676","102,190","108,673"
02/09/21,"111,259","106,842","102,225","108,901"
02/10/21,"111,540","107,253","102,267","109,441"
02/11/21,"111,352","107,620","102,319","109,946"
02/12/21,"111,935","107,620","102,416","109,946"
02/15/21,"111,935","107,972","102,416","110,406"
02/16/21,"112,035","107,567","102,474","109,913"
02/17/21,"111,660","107,079","102,374","109,270"
02/18/21,"110,722","107,594","102,198","109,905"
02/19/21,"111,655","106,747","102,451","108,767"
02/22/21,"110,605","106,634","102,421","108,631"
02/23/21,"110,405","106,929","102,477","109,028"
02/24/21,"111,193","104,788","102,811","106,194"
02/25/21,"106,793","104,509","102,148","105,763"
02/26/21,"108,497","106,513","102,000","108,426"
03/01/21,"111,227","106,077","102,602","107,864"
03/02/21,"111,320","105,115","102,421","106,600"
03/03/21,"109,708","103,879","102,290","104,967"
03/04/21,"106,971","104,859","101,908","106,279"
03/05/21,"108,112","104,020","102,437","105,179"
03/08/21,"105,852","105,461","102,517","107,065"
03/09/21,"108,813","106,077","102,680","107,858"
03/10/21,"109,963","107,285","102,973","109,442"
03/11/21,"112,166","107,513","103,236","109,728"
03/12/21,"113,213","108,134","103,376","110,532"
03/15/21,"114,233","107,765","103,548","110,079"
03/16/21,"113,085","108,190","103,355","110,641"
03/17/21,"114,095","106,591","103,518","108,574"
03/18/21,"111,031","106,825","103,142","108,868"
03/19/21,"111,699","106,896","103,164","109,018"
03/22/21,"110,632","105,836","103,114","107,651"
03/23/21,"108,087","104,864","102,599","106,381"
03/24/21,"106,309","105,343","102,417","107,008"
03/25/21,"108,099","106,412","102,755","108,549"
03/26/21,"110,095","105,374","102,739","108,062"
03/29/21,"108,557","105,615","102,575","108,425"
03/30/21,"109,215","106,685","102,473","109,216"
03/31/21,"110,201","107,668","102,612","110,474"
04/01/21,"112,310","107,668","102,682","110,474"
04/02/21,"112,310","107,939","102,682","111,508"
04/05/21,"113,566","108,559","102,559","111,539"
04/06/21,"113,697","108,123","102,659","112,007"
04/07/21,"113,479","108,620","102,426","112,672"
04/08/21,"114,278","109,081","102,543","113,249"
04/09/21,"115,500","109,136","102,477","113,608"
04/12/21,"116,117","109,970","102,396","114,030"
04/13/21,"116,948","109,367","102,616","113,388"
04/14/21,"116,155","110,171","102,718","114,298"
04/15/21,"117,321","110,087","102,833","114,266"
04/16/21,"117,284","109,098","102,760","113,411"
04/19/21,"116,342","107,912","102,665","112,168"
04/20/21,"113,884","108,818","102,601","113,113"
04/21/21,"115,231","108,717","102,670","112,284"
04/22/21,"114,705","110,187","102,848","113,596"
04/23/21,"116,732","110,820","102,906","114,436"
04/26/21,"117,018","110,639","103,040","114,474"
04/27/21,"116,938","110,351","102,918","114,634"
04/28/21,"116,577","109,440","103,034","115,224"
04/29/21,"115,574","108,546","102,942","114,109"
04/30/21,"114,186","108,218","102,967","114,261"
05/03/21,"114,254","106,986","102,926","113,049"
05/04/21,"112,980","106,403","103,015","113,395"
05/05/21,"112,795","105,822","103,027","114,060"
05/06/21,"112,708","106,387","103,000","115,139"
05/07/21,"113,651","105,375","103,000","113,379"
05/10/21,"111,908","105,365","102,941","113,016"
05/11/21,"112,039","103,297","103,068","110,519"
05/12/21,"108,641","103,468","103,346","111,251"
05/13/21,"109,453","105,461","103,039","113,291"
05/14/21,"111,870","105,247","102,972","113,205"
05/17/21,"111,669","105,213","103,147","112,550"
05/18/21,"111,276","104,748","103,076","112,205"
05/19/21,"110,808","105,536","102,893","113,268"
05/20/21,"111,598","105,495","102,892","113,247"
05/21/21,"111,613","106,078","102,909","114,591"
05/24/21,"112,783","106,031","102,954","114,468"
05/25/21,"112,626","106,781","102,936","115,099"
05/26/21,"113,524","107,291","102,826","115,397"
05/27/21,"114,346","107,359","102,713","115,819"
05/28/21,"114,247","107,359","102,832","115,819"
05/31/21,"114,247","107,716","102,832","116,276"
06/01/21,"114,670","107,669","103,077","116,507"
06/02/21,"114,190","106,920","102,946","115,907"
06/03/21,"113,550","107,034","102,774","116,821"
06/04/21,"113,966","107,471","102,827","117,047"
06/07/21,"114,504","107,715","102,852","117,047"
06/08/21,"114,358","107,237","102,974","116,451"
06/09/21,"113,717","107,746","102,959","116,667"
06/10/21,"113,741","108,223","102,961","117,140"
06/11/21,"114,561","108,451","102,874","117,556"
06/14/21,"114,438","107,963","102,848","117,098"
06/15/21,"113,702","107,621","102,912","116,370"
06/16/21,"113,303","107,899","102,529","116,232"
06/17/21,"113,181","107,437","102,525","114,813"
06/18/21,"112,530","107,347","102,513","115,911"
06/21/21,"112,770","108,062","102,512","116,424"
06/22/21,"114,081","108,399","102,588","116,519"
06/23/21,"114,440","108,879","102,572","117,424"
06/24/21,"115,136","108,740","102,627","117,531"
06/25/21,"115,196","108,925","102,671","118,222"
06/28/21,"115,510","109,083","102,787","118,033"
06/29/21,"115,579","109,097","102,825","117,948"
06/30/21,"115,551","109,199","102,885","118,356"
07/01/21,"115,734","109,427","102,909","118,686"
07/02/21,"116,227","109,427","102,997","118,686"
07/05/21,"116,227","109,340","102,997","118,274"
07/06/21,"116,238","109,025","102,972","118,165"
07/07/21,"116,084","108,465","102,851","116,715"
07/08/21,"114,794","109,863","102,872","118,335"
07/09/21,"116,761","109,577","102,932","118,862"
07/12/21,"116,668","108,674","102,990","117,979"
07/13/21,"115,684","108,088","102,782","117,577"
07/14/21,"114,939","107,838","102,622","116,876"
07/15/21,"114,053","107,268","102,718","115,721"
07/16/21,"112,632","106,501","102,719","114,240"
